id,keyword,location,text,target
23,ablaze,"` ˗ˏˋ i'm⠀waiting⠀for⠀you⠀to⠀pour⠀my⠀𝘀𝗶𝗻𝘀⠀onto⠀me⠀;⠀call⠀me⠀your⠀𝘭𝘰𝘷𝘦𝘳⠀whispering⠀hymns⠀to⠀my⠀ear⠀,⠀crucify⠀me⠀in⠀claims⠀of⠀praising⠀me .","⠀⠀When you walk through the fire, ⠀⠀you will not be scorched, and the ⠀⠀flames will not set you ablaze. ──── product…",0
24,ablaze,Okielahoma,Originally they were intended to be fired at boarders or the opposing ship's crew from gunners in the ships's riggi… https://t.co/z5vPwuyBCL,1
25,ablaze,,Warm greetings to all on the occasion of #Lohri. As winter passes by may everyone's woes and troubles be set ablaze in t…,0
26,ablaze,,"Another arson in Njikom,Boyo,NWR. The ambazombies yesterday 13/1/2020 set ablaze the Council building. Which country in the wo…",1
27,ablaze,Havana 3am,"Another public market in #Haiti mysteriously set ablaze. The independent merchants, who are overwhelmingly women, become…",1
28,ablaze,,that is kind true sadly,0
29,ablaze,,I swear that jam will set the world ablaze,0
30,ablaze,,"Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze. #I…",1
31,ablaze,"Washington, DC","Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze… https://t.co/IVGCYJZlmK",1
32,ablaze,India,How can you turn a blind eye to the icident of setting ablaze more than 50 houses of H… https://t.co/UD84oQxg9K,1
33,ablaze,"Salta, Argentina","This love is so completely crazy. You've been fucking with my dreams, ripped me like your torn up jeans. I don't ev… https://t.co/GCVYW5eZkb",0
34,accident,Wherever socks go in the dryer,Terms in A Demon Burning Dark: The Ruined: People who cannot use magic or interact with it without some harm or ac… https://t.co/ZEDawOfuu4,0
35,accident,Kuala Lumpur,"📷 Heartfelt appreciation to Prime Minister YAB Tun Dr. wife, YABhg. Tun Dr. Siti Hasmah Mohd Ali fo… https://t.co/YOwUp1BYUP",0
36,accident,,"#WATCH Former CM Akhilesh Yadav who went to meet injured of Kannauj accident, at a hospital in Chhibramau asks Emergency Med…",1
37,accident,"Sydney, New South Wales",❤️❤️❤️ he gave us everything... He had a horrible foot infection once so wore one thong… https://t.co/mA9sFl6Shw,0
38,accident,Nigeria,"😁yeah! His new swag is on point 100%, since the accident! Like this is a totally transformed Bob…",0
39,accident,"Davanagere, India ","This is cool and all these days I have been doing ""git push origin CURRENT_BRANCH_NAME"". You know that… https://t.co/mr0YAGEWqj",0
40,accident,"Lyndhurst, OH",#Preorder #newrelease today! 12 witnesses connected to or investigating #THENUTCRACKERCONSPIRACY have died either in a…,1
41,accident,"Covina, Ca",my back and neck are still fucked up from the accident 😡😡😭😭,0
42,accident,"Colorado, Brighton",RT! Prince Harry just confirmed that his mother’s (Princess Diana) death was not an accident! https://t.co/1ADe3uZ3eR,1
43,accident,,Note to Democrats: It’s not a Muslim ban. Islam is not a race. Soleimani was a terrorist &amp; was exterminated not assas…,0
44,accident,"North Carolina, USA",Juwan Johnson/Oregon is one big dude. Looks like a tight end stuck in the receiver group by accident.,0
45,accident,kurger bing,More appearances of the man with the upside-down face. A New Year’s Eve party at an Air Force base in 1943 where a man…,0
46,accident,"Faridabad, India","The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Kavu in Thum…",1
47,accident,60,My friend (an army) just lost her father in an accident and her mom right now is still unconscious. Please pray for her mo…,1
48,accident,ngovhela Mahunguni,MLINDO THE VOCALIST IN ANOTHER CAR ACCIDENT https://t.co/BXR9rEgAk6,1
49,accident,,"“There are no greater treasures than the highest human qualities such as compassion, courage and hope. Not even tragic accide…",0
50,accident,Germany,Please help our friends in - they have had a non fault accident that's resulted in their vehicle being writte…,0
51,accident,"South Beach, FL",When you hurt your younger sibling by “accident” https://t.co/DAMTEoQtZU,0
52,accident,"London, United Kingdom",David Cameron’s decision to hold a referendum expressed in the medium of a road traffic accident. https://t.co/XATYHFtXoa,1
53,accident,"Phoenix, AZ 85017",An auto accident injury can set a process in motion that can get complicated. Find out how long it takes to settle… https://t.co/GQp5tv03dF,1
54,accident,"England, UK ",no one has the right to call a baby an accident. jd himself called it a blessing. he used the loveliest word to describe what…,0
55,accident,"Melbourne, Australia",I actually posted this by accident to twitter but have decided this can stay,0
56,accident,"Pearland, TX",Question: let’s say you are happily married and your husband dies in a tragic accident. You are deveststed but this pussy not…,0
57,accident,Africa,The Kampala Metropolitan East has in custody two suspects who allegedly strangled to death a passenger… https://t.co/9v77Vm51vw,1
58,accident,"California, USA","In completely available public information , the fires were mostly started by humans on purpose or on accident with th…",0
59,accident,,During my PhD there was a colleague who went out of her way to bully and cause work discomfort for me. I… https://t.co/G3hivXZo8T,0
60,accident,"Kerala, India","The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Ka… https://t.co/e3bBlaVDDA",1
61,accident,"Staffordshire,England","6yr old Bella needs a new home due to an incident that was an accident, she can live with older kids and in the right ho…",0
62,accident,,"👀Look at this shit,😠she need her little ass whooped before she hit somebody by accident. #lecheminduroi #bransoncognac #starzge…",0
63,accident,"Port Harcourt, Nigeria",You're not an accident on the earth. You're God's divinely crafted masterpiece. He designed you with a destiny in v… https://t.co/KfC7Tpwuj6,0
64,accident,,Iran Says That They Shot Down Ukraine International Flight 172 By Accident. Here is an Picture of that Aircraft in… https://t.co/COdnYq77uZ,1
65,accident,Everywhere,Saw this truck with the container almost falling off this morning. Reported…,1
66,accident,"Ann Arbor, MI",Judge less smile more. It isn’t the oldest profession by accident lol,0
67,aftershock,Global,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/SF2wBVd5me,1
68,aftershock,"Puerto Rico, USA",3.6 aftershock at 4:05 am. I was asleep and the movement of my bed woke me up. Not so scary but I wish they weren't… https://t.co/LA2mwCLXhf,1
69,aftershock,In the mind of haters.,"Good Night my friends, As per USGS, the new 5.9 quake in this morning caused the 7-day aftershock forecast to change.…",1
70,aftershock,Czech Republic,Yea it wasnt that long she killed me in like 6 or 7 seconds but not sure would have to… https://t.co/pexyxYJoFM,0
71,aftershock,USA,Honored to have an essay in #AfterShock Marking the 50th anniversary of Alvin Toffler’s Future Shock Compendium of essays in t…,0
72,aftershock,,TICKETS ON SALE!!!!!!!!!! - Aftershock https://t.co/kQHMzbgmvk #nowplaying #k4hdradio,0
73,aftershock,"Bay Area, CA",Come with us to Aftershock!,0
74,aftershock,"Great Southwest, U.S.A.",o_O ! I think I felt your aftershock,0
75,aftershock,"Katowice, Poland",A quick comparison of the ongoing 2020 M6.4 Puerto Rico earthquake sequence and the 2003 M6.5 Central California sequenc…,1
76,aftershock,,"Why are Puerto Ricans refusing to go home? Aside from the 5.4 aftershock just now, the ground in southwest Puerto Rico has…",1
77,aftershock,Toronto,2010 - Inception. The Social Network. Easy A. Black Swan. Toy Story 3. The Kids are All Right. Aftershock.,0
78,aftershock,Texas,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/rrTNTMA8NR,1
79,aftershock,são paulo -sp,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/wW3CdsvDV2,1
80,aftershock,"  Philippines ,From America",A other Hard hit https://t.co/x3e2mf6DKo,0
81,aftershock,Islamabad,"Musharaf verdict was just mild aftershock of extension, one should not worry what comes after extention.",0
82,aftershock,"Flatbush, Brooklyn",Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/vRAdkSZaLn,1
83,aftershock,"Surabaya, Indonesia",Kumera yellow Aftershock #PH19FOSSIL featured in bankbtn Good Living magazine Photography Stylist shino… https://t.co/V9LJ65ttzR,0
84,aftershock,,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/MMxXzwBpaF,1
85,aftershock,NYC,Please pray for #PuertoRico!!!!! https://t.co/uWqP2yNohW,0
86,aftershock,ethers,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/lRTLlbB9TV,1
87,aftershock,"Ковров, Россия",И снова о кризисе демографии (Yakov_Z) https://t.co/BlgYuNumDG,0
88,aftershock,"Planet Eyal, Shandral System",Darkake(7 yeek possessor) was killed by possession aftershock on Ritches Tunnels 2. https://t.co/AZoiZicsDe,1
89,aftershock,,Check out my latest video... SUPERZERO VOL. 1 - CLOSER LOOK https://t.co/T36KGXJdvY A closer look at SUPERZERO VOL. 1 by Am…,0
90,aftershock,,Might be a small aftershock. I didn't feel anything,0
91,aftershock,"Brooklyn, NY","Stay informed, stay engaged with whats going on in #PuertoRico after the #earthquake The USGS’ 30-Day aftershock s… https://t.co/bYIBfpLHYg",0
92,aftershock,,This isnt good. I feel for the people of Puerto Rico https://t.co/gZC7TYroxS,0
93,aftershock,"Melbourne, Victoria","Aftershock Vapor 15 Pro Review – Aussie, Aussie, Aussie https://t.co/pWNq3VAr2r #PowerUpAU",0
94,aftershock,,Puerto Rico Worker explains Earthquake aftershock. Pleading to go viral https://t.co/hhfjQNLEt8 via,0
95,aftershock,Piscataway land // DC,this is an unfathomable number. I lived through a large earthquake and we slept under the table for one terrible night…,0
96,aftershock,DEPRESSED VIBES,nah I need calm down 💀 https://t.co/eOKphShN5R,0
97,aftershock,,thinking about how some1 spat blood at me during Marilyn Manson’s set at aftershock 👁👁,0
98,aftershock,,"If two quakes have about the same magnitude, you cannot say one is the other's preshock or aftershock. Only when one is obv…",0
99,aftershock,,"An M4+~M5+ aftershock happens within 15 days after an M5+~M6+ main shock. If you can predict it, then you can say it is an…",1
100,aftershock,,I don't think Silivri M4.8 is an aftershock of the Silivri M5.7 a few months ago. 😀 Quake professors always say such nonsen…,0
101,aftershock,"Bum Fuck, California",I think it’s an aftershock from ’s lyrical beat down. Brent never recovered.,0
102,aftershock,,Apex is all about separating from Monarch. They’re “separation. Well from my theory on how MechaGod… https://t.co/aBzDKqocPv,0
103,aftershock,"fresno, ca",thinking about how some1 spat blood at me during Marilyn Manson’s set at aftershock 👁👁,0
104,aftershock,,Or sending my mate Simon to the bar and asking for a Guiness but ending up with a Carlsberg Export and a Mint After…,0
105,aftershock,,#USGS #earthquake experts are in #PuertoRico installing temporary seismometers to help track seismic events including a Jan. 7 ma…,0
106,aftershock,"Wilmington, NC- USA",Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/P9Th3vpTak,1
107,aftershock,"Dream big ,NYC , FL\LA✈️✨💼😎","Over the weekend, Puerto Rico was struck by a 5.9 aftershock, causing more damage to homes and schools and leaving thou…",1
108,aftershock,DEPRESSED VIBES,How could you leave when I gave you my all 💔,0
109,aftershock,,"For the full experience, start with this one, 1st in the series. Food was running low. To save the young, the governor…",0
110,aftershock,NYC,The magnitude 5.9 quake in #PuertoRico this morning caused our 7-day aftershock forecast to change. We now estimate an increased…,1
111,aftershock,10.28.33N  / 066.57.79W,We continue to update our 30-day aftershock forecast scenarios for #PuertoRico. Forecasts are posted in both English https://t.co…,0
112,aftershock,"Texas, USA",Another 6.0 aftershock has hit Puerto Rico after last night. People cannot go home if they even have one. They have no po…,1
113,aftershock,"St Augustine, FL",Aftershock comics. We prefer working in partnership with our creators to build out that team from the ground up.,0
114,aftershock,RVA✈️FLA,Did the other earthquake/aftershock mess up the power again?!,0
115,aftershock,PA,Aftershock forecast for Puerto Rico,0
116,airplane%20accident,"California, USA",Like Iran shooting an airplane was an accident,1
117,airplane%20accident,,Bing Bong Airplane Accident Remix,0
118,airplane%20accident,Inside my head,Morgan is surprised to see Shaun back at work already and offers her condolences on his dad. Shaun says the airplan… https://t.co/SXwRBa7hj5,0
119,airplane%20accident,Australia,"That’s a load of rubbish, there was never an imminent threat, Jesus Christ!!!Iran sho… https://t.co/C815DfZF7C",0
120,airplane%20accident,"Greenwich, CT","Actually, blocking the internet was just an accident. You know, just like when Iran shot down the Ukrainian airplane.",1
121,airplane%20accident,"Michigan, USA",Conclusion 8 on previous page is incorrect IMHO. “The witness observations of a streak of light we… https://t.co/tz4Xv7uXCw,0
122,airplane%20accident,Iran,"The celebrities in Iran that are very sadly about our compatriots that killed with downing UK airplane,not only di… https://t.co/CtjVwIcH2v",0
123,airplane%20accident,"Virginia, USA",So Iranian radars cannot tell the difference between an incoming missile and an out going Ukrainian airplane? What… https://t.co/hoeEJEUIHE,1
124,airplane%20accident,West coast True north  i stan juggalos,"Had a look at your timeline, i see you hate my coun… https://t.co/30cMQ9gsPj",0
125,airplane%20accident,,"MILITARY MISTAKES, 1988 US-MILITARY SHOT DOWN AN IRANIAN PASSENGER AIRPLANE! 2020 IRANIAN MILITARY SHOT DOWN AN UKR… https://t.co/177gbnqiHt",1
126,airplane%20accident,,Secret anti-spying services in the Middle East should be on high alert. The demolition of the commercial airplane U…,1
127,airplane%20accident,هرجا که دلت باشد,"My friend i live here , believe me... Its our basic rights that know what happened… https://t.co/49nbXHuTfP",0
128,airplane%20accident,,Secret anti-spying services in the Middle East should be on high alert. The demolition of the commercial airpl… https://t.co/9pZViFDPkv,1
129,airplane%20accident,,How is it that Iran fired between 12 and 20 surface to surface missiles...…..then FIRED A SURFACE TO AIR MISSILE AT… https://t.co/mpkttFCAFB,0
130,airplane%20accident,,"Basically, you killed the general, put the whole country into a confusing status, they shoot a civ… https://t.co/P1lKrqhP1Y",0
131,airplane%20accident,GOV of Georgia♥️ Janny Cares,"No, I was referring to the shooting down of the airplane. I really do…",0
132,airplane%20accident,"Saskatchewan, Canada","No, I was referring to the shooting down of the airplane. I… https://t.co/xKVqRdtjhR",0
133,airplane%20accident,Canada,And anyone who believes that incident was an accident is an idiot. An airplane at approx 3000 fee…,0
134,airplane%20accident,,And anyone who believes that incident was an accident is an idiot. An airplane at approx 3000… https://t.co/axT3omjmE1,0
135,airplane%20accident,"Port Charlotte, FL","Iran did not blow up an airplane by accident, they intended for it to be shot down! The accident is that it was a civilian aircraft!",1
136,airplane%20accident,artemis,But... The airplane accident...,1
137,airplane%20accident,,"Mr M u hold p.Trump accountable for the airplane accident.we r very sad too,but pls don’t tweet abo… https://t.co/cqsMfVTLMW",0
138,airplane%20accident,Nigeria,"Just dial 112 toll-free from your phone in the event that you wish to report fire, flood, theft, armed robbery, kidnap,…",0
139,airplane%20accident,"Ilawe-Ekiti, Nigeria","Just dial 112 toll-free from your phone in the event that you wish to report fire, flood, theft, armed robbery, k… https://t.co/1e2jgI6C8Q",0
140,airplane%20accident,Florida,So Iran can shoot down a commercial airplane and claim it was an accident. Does ANYONE really believe that?!!! 😡😡😡😡,1
141,airplane%20accident,Calgary AB,You may be unaware that CND is currently in mourning. 57 Canadians were downed in an airplane by accident in Iran. Flag…,1
142,airplane%20accident,"Saskatchewan, Canada","Sorry for your loss, Iran should never have shot the airplane out of the sky. ‘accident’ they say",0
143,airplane%20accident,"Toronto, Ontario","It wasn't, Iranians knew when takeoff was happening &amp; they knew the airplane manufacturer was American.… https://t.co/9JNbfB0zWH",0
144,airplane%20accident,NYC,Mass anti-government protests erupt in Iran after leaders admit to shooting down airliner. Still cannot believe w… https://t.co/dweXwdLBGn,0
145,airplane%20accident,New England,I read the whole thread. He’s blaming Trump for Iran shooting down an ai… https://t.co/evL7sdNw0Z,0
146,airplane%20accident,Ontario,airplane accident answers. The US designated the Iranian government as terrorists and ha… https://t.co/7a2OgPYNiQ,0
147,airplane%20accident,State of Louisiana-great food,"Hey, got some swamp land for sale. You are either naive or just plain stupid! Which is it? Iran downing t… https://t.co/fu3cjJf1q8",0
148,airplane%20accident,"Sachse, Texas","Perhaps prodded by others, Zelensky decides Ukraine has nothing to lose by piling onto Iran. Never seen so many op… https://t.co/bvZj33dZEp",0
149,airplane%20accident,,"As a Canadian, I am very concerned. The airplane that was shot down by accident had 67 Canadians - many of Iranian…",0
150,airplane%20accident,Waldo,Shooting an airplane down *by accident* is bullshit. Just like *accidental shootings* of firearms. Especially since… https://t.co/xKEYVGXFiQ,0
151,airplane%20accident,United States,"Odd, how the Iranians ACCIDENTALLY blew up the airplane after take off. Was someone just playing with… https://t.co/Y2Yx1gZ6hQ",0
152,airplane%20accident,,"As a Canadian, I am very concerned. The airplane that was shot down by accident had 67 Canadians - many… https://t.co/v8MsKmrLyB",0
153,airplane%20accident,United Kingdom,"And. No excuse for shooting down a commercial airplane with innocent civilians on. Oh! Sorry Jeremy, as you say, it was an…",0
154,airplane%20accident,"Milwaukee, WI",You beat me to this response. You have to TRACK an airplane with a surface to air missile.…,0
155,airplane%20accident,"French River, Ontario, Canada","It is unimaginable to have 174 people gone in one ""accident."" How could anyone point a surface to air missile at a… https://t.co/7Abwo7HXuz",0
156,airplane%20accident,"Siesta Key, FL","So it was just an accident that Iran rocketed an airplane, killing 180 people. And libs defending it like that’s ok b…",0
157,airplane%20accident,"Manchester, England","And. No excuse for shooting down a commercial airplane with innocent civilians on. Oh! Sorry Jeremy, as you say, it… https://t.co/gUkc4ToutN",0
158,airplane%20accident,"New Jersey, USA",Well let’s see. We know so far the body count of demonstrators was over… https://t.co/sPpCsKbUq0,0
159,airplane%20accident,"Michigan, USA",You beat me to this response. You have to TRACK an airplane with a surface to air missi… https://t.co/RFyWvNqO2Z,0
160,airplane%20accident,"Canada, eh",Good lord...... Yeah. It was an accident. The airplane didn't give the missile the right away.... 😒,0
161,airplane%20accident,,"The Iranian leadership has downed the commercial airplane on purpose, who are they kidding by saying it was by accident",0
162,airplane%20accident,#السعودية_العظمى,"Ooh look, NYT became a lawyer for the Iranian regime What a stupid newspaper, it’s now time, there are vi… https://t.co/SbfUCNkMpr",0
163,airplane%20accident,Iowa,How exactly does one accidentally fire a rocket? At an airplane leaving your own countries airport. This… https://t.co/LQdfG1THTN,0
164,airplane%20accident,"Vaughan, Ontario",?!?!?! SO THEY SAYING SHOOTING DOWN THAT AIRPLANE W INNOCENT PPL WAS AN ACCIDENT???? BRUH.,1
165,airplane%20accident,"Moodus, CT  USA",There were 6 Nuclear physicists on that AirPlane it was no accident.,1
166,airplane%20accident,"40.72163,-73.8669","and his murderous friends shoot down an airplane ""by accident"", killing around 200 innocent people, but wa… https://t.co/i3w3gDnKSx",1
167,airplane%20accident,"East Verdi, NV","Yup, and the US once shot down an Iranian airplane by accident. And we’ve been supp… https://t.co/smtoR2tsjn",1
168,airplane%20accident,,"United States downs an Iranian terrorist and the world press dedicates tons of articles on the life he lived, but the Ira…",0
169,airplane%20accident,"Port Charlotte, FL","Besides the Airplane being shot down by ""Accident""..... Other ""things"" are HABBENING also.....!! High-level pro-Iran militi…",0
170,airplane%20accident,"Hamilton, Ontario",CBC news just said there was an operator on a missile launcher that shot down the airplane. cockpit was taken out.… https://t.co/uy2YYAqeAr,1
171,airplane%20accident,,CONSIDER -&gt; How does a person with a video camera know WHERE and WHEN to record an attack BEFORE there was any indication…,0
172,airplane%20accident,The Enchanted Mitten,"Besides the Airplane being shot down by ""Accident""..... Other ""things"" are HABBENING also.....!! High-level pro-Ir… https://t.co/OlJMmB1Tj9",0
173,airplane%20accident,NYC Babe-Bee 🌹🐾🙏,"Yeah, yer well prepared ...hit a few buildings &amp; knocked down yer own airplane by accident ...better keep d… https://t.co/ww1W8LOYVl",0
174,airplane%20accident,"Lake Mary, FL","if the shooting down of the plane was an accident (human error), why were the Iranians shooting mi… https://t.co/JesxuYkYVD",0
175,airplane%20accident,,This attack N on an airplane that had just taken off was no accident. Iran wants the world to know there will be co… https://t.co/2mimAWnc6x,0
176,airplane%20accident,,Grover Airplane Accident Doctor,0
177,airplane%20accident,Islamic Republic of Iran,# Trump in Accident # Crash - Airplane # Ukraine is the main factor as the most powerful person in the world whose count…,0
178,airplane%20accident,Islamic Republic of Iran,# Trump in Accident # Crash - Airplane # Ukraine is the main factor as the most powerful person in the world whose… https://t.co/mSkuJJe79X,0
179,airplane%20accident,"Franca, Brasil","Although it's late. I extend my condolences to all the families of the victims of the Ukrainian Airplane Falling, inclu…",1
180,airplane%20accident,Cairo,Iranian military admitted it shot down Ukrainian airplane by missiles accidentally. It is not an accident! It is a crim…,1
181,airplane%20accident,,"So much talk about #Ukraine airplane within #iran #USA conflict, while conflict wise this is irrelevant, what is mo… https://t.co/lpE4tm3pYk",0
182,airplane%20accident,Qom,"Although it's late. I extend my condolences to all the families of the victims of the Ukrainian Airplane Falling,… https://t.co/HBAXNWmVoZ",1
183,airplane%20accident,"Houston, TX","Iran shot down an airplane full of innocent people. Say what you want about Trump, but that’s not an appropriate r… https://t.co/dEdr4YnZK9",1
184,airplane%20accident,"The Hague, Netherlands ",She is still silent about the killing of 176 innocent people in Iran. Iranian military admitted it shot down Ukrainian a…,1
185,airplane%20accident,,The Iranians chose the day and time to send missiles inside Iraq and they also controlled the… https://t.co/EhjP8cNlW4,0
186,airplane%20accident,,Was the airplane on a routine flight path from the airport? One would think those that shot it down would be fam…,0
187,airplane%20accident,,Germany's Foreign Minister Heiko Maas says 'It must be assumed the airplane crash in Iran was a terrible accident.' https://…,1
188,airplane%20accident,,"How about some compassion for the families of the Ukrainian airplane shot down ""by accident"" ?🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏…",1
189,airplane%20accident,"Pahoa, Hawai'i 96778","How about some compassion for the families of the Ukrainian airplane shot down ""by accident"" ?🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏",0
190,ambulance,Republic of Ireland.,Fire Engulfs Ambulance Conveying Corpse of Catholic Priest’s Mother; #streetjournal https://t.co/gK6dAGKRrL,1
191,ambulance,"England, UK","Is it racist to be concerned that this is correct … 50,000 residents in Birmingham can't speak English? Birmingham is England…",0
192,ambulance,,🔴 #WAARLAND #ambulance 🚑 #p2000 A2 10187 Rit 6026 Sabinahof Waarland https://t.co/YesZazBODp,0
193,ambulance,"Rock Hill, SC","#USDJPY despite Richter Scale overbought, Fxstreet Line Up Swissquote bullish long, Jason Sen Mr. Ambulance Chaser B…",0
194,ambulance,"Rock Hill, SC","#USDJPY despite Richter Scale overbought, Fxstreet Line Up Swissquote bullish long, Jason Sen Mr. Ambulance Cha… https://t.co/iVuuacsq54",0
195,ambulance,Hyeongjun world,The Untamed boys singing “Love Siren” from My ambulance ❤️❤️ #TheUntamedBoysinBKK https://t.co/2HkshTHs8W,0
196,ambulance,"Theale, England",...or pulling over for an ambulance,0
197,ambulance,London innit,I hope there’s going to be an ambulance waiting at the bottom because there’s no way that fat lump can cli… https://t.co/eQ0fg2Fo7i,0
198,ambulance,,รักติดไซเรน (My Ambulance) .Cover is coming ! #TheUntamedBoys Ambassador for Thai Spring Festival 2020 The delightful…,0
199,ambulance,Sicily (❤️) Mielno 🇵🇱,When driving drunk you can choose your way to come back home : A) Taxi. B… https://t.co/Bk3XOkgFKq,0
200,ambulance,"Melbourne, Victoria","Yer severe Ambulance ramping, under funding/resourcing… https://t.co/kpenM6wiej",0
201,ambulance,,"Zulaykha's son was an ambulance driver who was killed in a suicide attack in Maimana, Faryab. Everyday, she visits the ambu…",0
202,ambulance,mybag,"first of all he was not taken to no damn hospital , that man died in walmart with the ambulance OUTSIDE! they was more focuse…",1
203,ambulance,Everywhere,"Jinu : Are you okay? You hit your head and fainted, do you remember anything? Yoon : Only the ambulance ride to the hospi…",0
204,ambulance,Wales,What has it come to? We’ve recently had fuel stolen from ambulance vehicles and damage to a staff car whilst on an ambulanc…,1
205,ambulance,,They've gone ambulance chasing in Australia,0
206,ambulance,,And drumroll its beach girl. Henry tried to keep pressure on the wound and calls for an… https://t.co/gvo4M76B1O,0
207,ambulance,United Kingdom,What racism ?..Absolutely delighted… https://t.co/WCP0oyZJVY,0
208,ambulance,"Everywhere, I am a free spirit","The norovirus is like a detox, gets all the crap out the system much like flushing out the central h… https://t.co/mwJBxCelyW",0
209,ambulance,Malawi,"ooh, guys, do you know where in gauteng people go to study nursing and the ambulance nurses who keep you alive in transit…",0
210,ambulance,,#IranProtests #Tehran Right now Valiasr intersection is where the Special Forces are heading to the Paradise Ambulance. @…,0
211,ambulance,💰HELPING YOU GAIN MUTUAL💰,Are you one of those who silently Pray for an UNKNOWN #Ambulance passed by? https://t.co/23zS7QjTdG,0
212,ambulance,"Knoxville, TN","Long night, mom's sugar dropped to 28 so dad called an ambulance. No fun at hospital with late shift.",1
213,ambulance,London,If you have Norovirus there's no place like home! The winter bug is unpleasant - but usual goes away after a coupl… https://t.co/AigErM2h2m,0
214,ambulance,,I don’t understand how Jongkook danced like that and was NOT breathing heavily at the end of his sequence while lyi… https://t.co/DT4rPzYXS7,0
215,ambulance,Egypt's Prime Minister,"Unilorin did not have oxygen, A whole University of ilorin not having oxygen they had to refer us to UITH thinking maybe t…",0
216,ambulance,in my poes,“ambulance nurses” ♥️♥️♥️,0
